system:index,date,.geo
20220201T071219_20220201T080201,2022-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220201T084719_20220201T093834,2022-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220201T085219_20220201T093934,2022-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220202T065219_20220202T074358,2022-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220202T082719_20220202T091829,2022-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220202T083219_20220202T091936,2022-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220203T081219_20220203T090537,2022-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220204T075219_20220204T083808,2022-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220205T073219_20220205T082110,2022-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220205T073719_20220205T082533,2022-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220205T091219_20220205T100233,2022-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220206T071219_20220206T075936,2022-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220206T071719_20220206T080628,2022-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220206T085219_20220206T094404,2022-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220206T085719_20220206T094931,2022-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220207T065719_20220207T074506,2022-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220207T083719_20220207T092604,2022-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220208T081557_20220208T090706,2022-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220208T082057_20220208T090831,2022-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220209T075815_20220209T084709,2022-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220210T073815_20220210T083159,2022-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220210T074315_20220210T083333,2022-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220211T071815_20220211T080935,2022-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220211T072315_20220211T081107,2022-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220211T085815_20220211T094900,2022-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220211T090315_20220211T095506,2022-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220212T070315_20220212T075332,2022-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220212T084315_20220212T093504,2022-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220213T082315_20220213T091300,2022-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220213T082815_20220213T091411,2022-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220214T080315_20220214T085303,2022-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220214T080815_20220214T085837,2022-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220215T074315_20220215T083433,2022-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220215T074815_20220215T083606,2022-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220216T072315_20220216T081202,2022-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220216T072815_20220216T081559,2022-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220216T090815_20220216T095706,2022-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220217T070815_20220217T075832,2022-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220217T084815_20220217T093500,2022-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
